r0566_0006 0 0 0 0 0 0 0 1 0 0 
r0566_0007 0 0 0 0 0 0 0 0 0 0 
r0566_0008 0 0 0 0 0 0 0 0 0 1 
r0566_0009 0 0 0 0 0 0 0 0 0 0 
r0566_0010 0 0 0 0 0 0 0 0 0 0 
r0566_0011 0 0 0 1 1 0 0 0 0 0 
r0566_0012 0 0 0 1 1 1 0 0 0 0 
r0566_0013 0 0 0 0 0 0 0 0 0 0 
r0566_0014 0 0 0 0 0 0 0 0 0 0 
r0566_0015 0 0 0 0 0 0 0 0 0 0 
r0566_0016 0 0 0 0 1 0 0 0 0 0 
r0566_0017 0 0 0 0 0 0 0 0 0 0 
r0566_0018 0 0 0 0 1 0 0 0 0 0 
r0566_0019 0 0 0 0 0 0 0 0 0 0 
r0566_0020 0 0 0 0 1 0 0 0 0 0 
r0566_0021 0 0 0 0 0 0 0 0 0 0 
r0566_0022 0 0 0 0 1 0 0 0 0 0 
r0566_0023 0 0 0 0 0 0 0 0 0 0 
r0566_0024 0 0 0 0 1 0 0 0 0 0 
r0566_0025 0 0 0 0 0 0 0 0 0 0 
r0566_0026 0 0 0 0 1 0 0 0 0 0 
r0566_0027 0 0 0 0 0 0 0 0 0 0 
r0566_0028 0 0 0 0 1 0 0 0 0 0 
r0566_0029 0 0 0 0 0 0 0 0 0 0 
r0566_0030 0 0 0 0 1 0 0 0 0 0 
r0566_0031 0 0 0 0 0 0 0 0 0 0 
r0566_0032 0 0 0 0 1 0 0 0 0 0 
r0566_0033 0 0 0 0 0 0 0 0 0 0 
r0566_0034 0 0 0 0 0 0 0 0 0 0 
r0566_0035 0 0 0 0 1 0 0 0 0 0 
r0566_0036 0 0 0 0 1 0 0 0 0 0 
r0566_0037 0 0 0 0 0 0 0 0 0 0 
r0566_0038 0 0 0 0 1 0 0 0 0 0 
r0566_0039 0 0 0 0 0 0 0 0 0 0 
r0566_0040 0 0 0 0 1 0 0 0 0 0 
r0566_0041 0 0 0 0 0 0 0 0 0 0 
r0566_0042 0 0 0 0 1 0 0 0 0 0 
r0566_0043 0 0 0 0 0 0 0 0 0 0 
